gene,avg_rank_metric,avg_log2FC
TSPYL1,-0.0016494826528001725,-0.012805952310841369
EIF3L,-0.0016564711897531419,-0.016831684966773612
DDRGK1,-0.0016741867312525742,-0.01697047864733824
SMARCA2,-0.0016923822268449398,-0.015325464991058706
POP5,-0.0016980279550147556,-0.015069623564045837
SAE1,-0.0016998221645358144,-0.014674813110210037
TOMM5,-0.0017028319570901165,-0.01597075172762196
HSD17B11,-0.0017069740043164224,-0.015787055146175434
REL,-0.0017174412339433268,-0.015233305256120749
PPM1K,-0.0017177469448822736,-0.014889886638589183
DNAJB6,-0.0017331563380625122,-0.01727624336456711
EIF5,-0.0017370045602960475,-0.016476199333902
RPL22L1,-0.0017391516270208697,-0.015144540137473574
SEPT9,-0.0017412243265292101,-0.01657590221167161
PTGER4,-0.0017412630610504263,-0.014255030275289536
RPL39,-0.0017422623124461287,-0.014106577865508587
RPS8,-0.0017567073798825047,-0.014262818612723754
MT1X,-0.0017865757590720872,-0.01638878366415301
ASB1,-0.0017934868351899456,-0.01537690212585634
ATXN2L,-0.0018112105321980874,-0.015466618455861041
FAM53C,-0.0018186782716853687,-0.013686958220442606
PRKCQ-AS1,-0.001819232075682588,-0.01607137413975223
SH3GLB1,-0.001824469461751109,-0.017369452588010894
NAP1L1,-0.0018304425396380194,-0.018507650077047792
CALCOCO2,-0.0018342165152824955,-0.01521312285351517
KANSL2,-0.0018383780747872128,-0.014893242443080676
POLR1D,-0.0018444685645893379,-0.018032243250747742
ABRACL,-0.0018513336709964385,-0.018071969104363917
SETD2,-0.0018534510645447657,-0.01589805519456082
TMEM9B,-0.0018694694644167864,-0.017273743479428734
DRAM2,-0.0018758447507190759,-0.016347456882558564
RNF214,-0.0018844761844783737,-0.012773857094692817
FAM195A,-0.0018880436693859397,-0.016868553594741847
DUS1L,-0.0019043341683716304,-0.01761063434634527
RINL,-0.0019079188193057938,-0.017170367708042998
FCHSD1,-0.001913066721999465,-0.01602950272039702
USP9X,-0.001917181244289928,-0.01496853200012009
PSMA7,-0.001919356652507651,-0.01763810923225149
DNAAF2,-0.0019209519089161027,-0.014957191114016208
SOCS3,-0.0019322962606690209,-0.012337231543758775
C10orf76,-0.0019353199814465753,-0.016889395992578937
PRDX2,-0.0019416142092398966,-0.01583415026066576
MRPL30,-0.001942161810573207,-0.015675662242421836
C19orf66,-0.0019529932451358648,-0.01806354667298701
RCAN3,-0.001964812707183312,-0.015255177957642457
TMEM55B,-0.0019675977862150394,-0.016119186065833426
CARD11,-0.0019695753285953223,-0.01629579734318318
ISCU,-0.0019709195372446114,-0.018127181582943304
GPX1,-0.0019716627647012068,-0.017210861181447636
ZSWIM7,-0.001978646966612404,-0.018036954197273688
TFPT,-0.0019941313357642342,-0.01728520755160236
POLR2F,-0.0019949928569968902,-0.018630146948679045
FLJ32255,-0.001997032532265759,-0.015358483139593612
TMEM134,-0.001998015461557483,-0.015805593759389034
POMC,-0.002009769127653645,-0.01622489834840118
CFAP20,-0.0020109398269019013,-0.01548309140540409
CHURC1,-0.0020383386627863213,-0.016328752318025504
PCBP1,-0.002051171344194602,-0.01557725460884957
HNRNPLL,-0.002057168888710417,-0.014622050225916798
ASNS,-0.0020634699435283024,-0.014689302466041632
ITGB1,-0.002065159558494322,-0.01673061642435521
NOTCH2,-0.002068424829959887,-0.017121468558684676
CHCHD2,-0.0020838792217160247,-0.018865806892874246
TMEM120A,-0.0020844867153594652,-0.017028795127889924
SPTLC1,-0.002084523914086052,-0.017320567711575134
MYL6B,-0.002091773663271516,-0.015438549548173858
GOLT1B,-0.0020923785101806046,-0.015531227376572447
ELMO1,-0.0020977433768857704,-0.01719516838290237
N4BP2L1,-0.0021168141790764007,-0.017950843128571408
